City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,an muileann gcearr,53.5333,-7.35,50.68,95,91,7.99,IE,1698515712
131,saldanha,-33.0117,17.9442,60.85,62,0,26.53,ZA,1698515725
132,amungan,15.3652,119.9582,79.21,80,67,5.64,PH,1698515725
133,ati,13.2154,18.3353,93.02,16,7,7.14,TD,1698515725
134,whangarei,-35.7317,174.3239,54.68,77,100,15.75,NZ,1698515725
135,saipan,15.1355,145.701,81.3,94,75,4.61,MP,1698515725
136,castillos,-34.1667,-53.8333,73.54,65,43,6.26,UY,1698515725
137,brisas barra de suchiate,14.55,-92.2167,89.78,77,19,10.27,MX,1698515725
138,whitehorse,60.7161,-135.0538,20.17,93,100,10.36,CA,1698515725
139,fasa,28.9383,53.6482,65.44,42,0,0.0,IR,1698515726
140,colares,38.7992,-9.4469,68.77,83,20,18.99,PT,1698515726
141,nadym,65.5333,72.5167,14.31,96,58,8.52,RU,1698515726
142,quellon,-43.1167,-73.6167,48.15,74,57,23.29,CL,1698515726
143,sao simao,-21.4792,-47.5508,73.85,50,98,6.98,BR,1698515522
144,zheleznodorozhnyy,55.7503,38.0042,32.61,96,100,10.0,RU,1698515726
145,puerto lempira,15.2667,-83.7667,87.94,66,40,9.22,HN,1698515726
146,balabac,7.9868,117.0645,81.57,81,47,7.65,PH,1698515726
147,campbell river,50.0163,-125.2446,37.6,100,20,0.0,CA,1698515726
148,kavieng,-2.5744,150.7967,81.79,81,8,15.39,PG,1698515727
149,akureyri,65.6835,-18.0878,35.53,75,0,0.0,IS,1698515727
150,constantia,44.1833,28.65,63.7,48,65,4.81,RO,1698515494
151,santiago de tolu,9.5239,-75.5814,78.64,88,100,9.37,CO,1698515727
152,khorramabad,33.4878,48.3558,58.62,41,0,6.91,IR,1698515727
153,fort mcmurray,56.7268,-111.381,26.11,86,100,8.05,CA,1698515727
154,tossa de mar,41.7325,2.9338,67.41,77,24,16.11,ES,1698515727
155,shizuishan,39.2333,106.7694,57.29,24,3,8.57,CN,1698515727
156,punta arenas,-53.15,-70.9167,44.71,42,0,5.75,CL,1698515529
157,vetluzhskiy,58.3902,45.4654,27.03,73,100,3.0,RU,1698515728
158,labrador city,52.9463,-66.9114,39.11,75,75,24.16,CA,1698515728
159,klyuchi,52.2667,79.1667,28.49,55,100,7.92,RU,1698515728
160,smithers,54.7804,-127.1743,17.92,93,0,3.44,CA,1698515728
161,esquel,-42.9,-71.3167,39.88,79,100,19.77,AR,1698515728
162,basmat,19.3167,77.1667,69.39,48,0,5.61,IN,1698515728
163,isabela,6.7085,121.9711,78.06,83,52,1.9,PH,1698515728
164,uray,60.1247,64.7758,20.97,69,11,6.04,RU,1698515728
165,conchas,-23.0153,-48.0106,85.39,57,99,10.92,BR,1698515729
166,ribeira grande,38.5167,-28.7,65.77,63,40,14.97,PT,1698515729
167,chos malal,-37.3781,-70.2709,51.76,51,79,30.94,AR,1698515729
168,nova vicosa,-17.8919,-39.3719,82.63,66,71,14.9,BR,1698515704
169,tobelo,1.7284,128.0095,79.65,81,99,3.47,ID,1698515729
170,hamilton,39.1834,-84.5333,60.91,93,100,8.05,US,1698515729
171,vadso,70.0744,29.7487,30.36,80,100,10.36,NO,1698515729
172,tadif,36.3481,37.5309,75.72,34,3,5.79,SY,1698515729
173,enewetak,11.3474,162.3373,82.31,76,48,7.92,MH,1698515729
174,malpica,43.3228,-8.8105,62.76,75,99,19.69,ES,1698515729
175,nuuk,64.1835,-51.7216,27.21,74,0,8.05,GL,1698515730
176,sungai penuh,-2.0833,101.3833,63.82,86,37,3.36,ID,1698515730
177,kodiak,57.79,-152.4072,45.91,93,100,8.05,US,1698515730
178,kruisfontein,-34.0033,24.7314,53.47,67,99,15.35,ZA,1698515730
179,tulagi,-9.0996,160.1476,81.54,77,89,14.34,SB,1698515730
180,arkhangel'sk,64.5401,40.5433,24.13,81,100,7.96,RU,1698515730
181,al ghayzah,16.2079,52.176,79.2,69,52,6.4,YE,1698515730
182,san julian,21.0167,-102.1667,72.75,43,44,7.9,MX,1698515731
183,auki,-8.7676,160.7034,76.8,90,81,3.53,SB,1698515731
184,loudun,47.0079,0.083,59.18,81,100,23.85,FR,1698515731
185,vorgashor,67.5833,63.95,6.12,99,98,3.06,RU,1698515731
186,saint-joseph,-21.3667,55.6167,75.58,85,26,8.21,RE,1698515731
187,fort-shevchenko,44.5086,50.263,61.66,70,100,14.16,KZ,1698515731
188,liman,48.9884,37.8023,55.53,61,54,27.65,UA,1698515731
189,jamiltepec,16.2833,-97.8167,85.62,53,100,3.67,MX,1698515732
190,minas de marcona,-15.2119,-75.1103,66.58,66,84,12.82,PE,1698515732
191,ola,59.5833,151.2833,28.33,70,92,6.67,RU,1698515732
192,mount isa,-20.7333,139.5,73.17,12,32,3.44,AU,1698515732
193,happy valley-goose bay,53.3168,-60.3315,35.91,93,100,4.61,CA,1698515732
194,essaouira,31.5125,-9.77,72.9,60,40,11.5,MA,1698515732
195,tadine,-21.55,167.8833,71.1,86,1,11.48,NC,1698515732
196,gadzhiyevo,69.2551,33.3362,23.36,89,100,3.96,RU,1698515733
197,rikaze,29.25,88.8833,40.26,21,31,2.46,CN,1698515733
198,sudak,44.85,34.9667,61.77,68,66,4.63,UA,1698515733
199,andergrove,-21.0833,149.1833,67.64,70,19,14.14,AU,1698515733
200,murun-kuren,49.6342,100.1625,24.37,45,9,1.99,MN,1698515733
201,vilyuysk,63.7553,121.6247,22.21,91,100,4.54,RU,1698515733
202,vila velha,-20.3297,-40.2925,84.15,74,20,16.11,BR,1698515733
203,utrik,11.2278,169.8474,82.96,76,89,17.69,MH,1698515733
204,ilulissat,69.2167,-51.1,24.82,80,75,9.22,GL,1698515734
205,hermanus,-34.4187,19.2345,56.77,68,53,17.07,ZA,1698515694
206,tralee,52.2704,-9.7026,50.18,89,90,4.81,IE,1698515734
207,horta,38.5333,-28.6333,65.01,68,40,14.97,PT,1698515734
208,anna regina,7.2644,-58.5077,87.48,60,87,6.6,GY,1698515734
209,mzuzu,-11.4656,34.0207,70.5,50,40,1.83,MW,1698515734
210,sitka,57.0531,-135.33,42.69,81,100,8.05,US,1698515735
211,codrington,-38.2667,141.9667,40.71,92,90,6.98,AU,1698515735
212,ust-nera,64.5667,143.2,-0.06,99,98,2.93,RU,1698515735
213,khandyga,62.6667,135.6,5.31,93,95,3.4,RU,1698515735
214,port elizabeth,-33.918,25.5701,57.49,88,100,10.36,ZA,1698515481
215,chachapoyas,-6.2317,-77.869,64.29,80,100,4.43,PE,1698515735
216,mantua,45.1667,10.7833,61.05,74,56,3.0,IT,1698515735
217,boca do acre,-8.7522,-67.3978,98.28,34,91,5.93,BR,1698515735
218,vryburg,-26.9566,24.7284,75.13,12,2,13.51,ZA,1698515736
219,eyl,7.9803,49.8164,80.78,75,96,16.4,SO,1698515736
220,kapa'a,22.0752,-159.319,76.98,80,0,9.22,US,1698515736
221,karratha,-20.7377,116.8463,80.65,72,37,9.37,AU,1698515736
222,selfoss,63.9331,-20.9971,40.05,70,99,7.0,IS,1698515736
223,chibougamau,49.9168,-74.3659,31.62,93,75,11.5,CA,1698515737
224,santa pola,38.1917,-0.5658,70.32,73,0,10.0,ES,1698515737
225,uturoa,-16.7333,-151.4333,78.8,79,96,12.73,PF,1698515737
226,astara,38.5,48.6667,67.98,35,40,7.67,AZ,1698515737
227,st. john's,47.5649,-52.7093,58.55,99,100,14.97,CA,1698515737
228,jikamshi,12.1733,7.7742,82.44,19,8,7.23,NG,1698515737
229,koundara,12.4833,-13.3,87.04,60,23,1.9,GN,1698515737
230,kayangel,8.0823,134.7173,81.43,75,98,2.08,PW,1698515738
231,boyolangu,-8.1181,111.8935,73.6,89,46,2.13,ID,1698515738
232,belmonte,-15.8631,-38.8828,82.4,68,33,13.35,BR,1698515738
233,bontang,0.1333,117.5,80.37,79,97,4.99,ID,1698515738
234,mancio lima,-7.6142,-72.8958,86.07,74,75,2.3,BR,1698515738
235,calca,-13.3333,-71.95,61.95,58,92,6.51,PE,1698515738
236,vanino,49.0869,140.2543,32.92,56,2,4.18,RU,1698515738
237,olyokminsk,60.3736,120.4264,27.93,75,100,5.01,RU,1698515739
238,bogdanovich,56.7803,62.0494,25.02,89,100,8.72,RU,1698515739
239,salinopolis,-0.6136,-47.3561,85.55,70,10,16.37,BR,1698515739
240,lihue,21.9789,-159.3672,76.24,79,0,9.22,US,1698515739
241,kerikeri,-35.2268,173.9474,54.91,90,100,3.0,NZ,1698515739
242,umm ruwaba,12.9061,31.2158,82.4,58,88,9.82,SD,1698515739
243,chifeng,42.2683,118.9636,51.01,42,6,5.93,CN,1698515740
244,luanda,-8.8368,13.2343,80.6,78,40,13.8,AO,1698515740
